Country,Item List
Singapore,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Slovakia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Slovenia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Solomon Islands,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Somalia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
South Africa,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
South Korea,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
South Sudan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Spain,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Sri Lanka,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Sudan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Swaziland,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Sweden,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Switzerland,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Syria,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Taiwan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Tajikistan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Tanzania,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Thailand,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
The Bahamas,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
The Gambia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Togo,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Tonga,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Trinidad and Tobago,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Tunisia ,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Turkey,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Turkmenistan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Tuvalu,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Uganda,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Ukraine,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
United Arab Emirates,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
United Kingdom,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
United States of America,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Uzbekistan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Vanuatu,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Vatican City,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Vietnam,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Yemen,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Zambia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Zimbabwe,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
